#count	#translation	#r	#qmap	#qdot	#pmap	#pdot
11	australia is have diplomatic relations with north korea one of the a small number of countries of .	1.0	PhraseModel_2=10.004202418 PhraseModel_1=8.58773262055 WordPenalty=-7.81730067426 Glue=3.0 PhraseModel_0=4.07513106801	27.6526646623	PhraseModel_2=10.004202418 Glue=3.0 PhraseModel_1=8.58773262055 WordPenalty=-7.81730067426 PhraseModel_0=4.07513106801	27.6526646623
3	australia is have diplomatic relations with north korea one of the a small number of countries of .	1.0	PhraseModel_2=10.004202418 PhraseModel_1=8.58773262055 WordPenalty=-7.81730067426 Glue=3.0 PhraseModel_0=4.67719102837	24.4409968758	PhraseModel_2=10.004202418 Glue=3.0 PhraseModel_1=8.58773262055 WordPenalty=-7.81730067426 PhraseModel_0=4.67719102837	24.4409968758
1	australia is have diplomatic relations with north korea one of the a small number of countries of .	1.0	PhraseModel_1=8.58773268015 WordPenalty=-7.81730067426 Glue=3.0 PhraseModel_2=10.004202418 PhraseModel_0=4.64610714652	24.6068125314	PhraseModel_2=10.004202418 Glue=3.0 PhraseModel_1=8.58773268015 WordPenalty=-7.81730067426 PhraseModel_0=4.64610714652	24.6068125314
1	australia is with north korea have diplomatic relations one of the a small number of countries of .	1.0	WordPenalty=-7.81730067426 PhraseModel_1=8.58773253114 Glue=4.0 PhraseModel_2=10.0042024776 PhraseModel_0=5.03380198217	22.5386683846	PhraseModel_2=10.0042024776 Glue=4.0 PhraseModel_1=8.58773253114 WordPenalty=-7.81730067426 PhraseModel_0=5.03380198217	22.5386683846
1	australia is with north korea have diplomatic relations one of the a small number of countries of .	1.0	PhraseModel_0=5.4714153707 WordPenalty=-7.81730067426 Glue=3.0 PhraseModel_2=10.0042024776 PhraseModel_1=8.58773253114	20.20423508	PhraseModel_2=10.0042024776 PhraseModel_0=5.4714153707 Glue=3.0 WordPenalty=-7.81730067426 PhraseModel_1=8.58773253114	20.20423508
11	australia is with north korea have diplomatic relations one of the a small number of countries of .	1.0	PhraseModel_2=10.004202418 WordPenalty=-7.81730067426 Glue=4.0 PhraseModel_1=8.58773262055 PhraseModel_0=4.07513106801	27.6526646623	PhraseModel_2=10.004202418 PhraseModel_0=4.07513106801 Glue=4.0 WordPenalty=-7.81730067426 PhraseModel_1=8.58773262055	27.6526646623
1	australia is and north korea have diplomatic relations one of the a small number of countries of .	1.0	WordPenalty=-7.81730067426 PhraseModel_2=9.75173749775 PhraseModel_1=9.07433373482 Glue=4.0 PhraseModel_0=4.50189111568	24.2904171962	PhraseModel_2=9.75173749775 Glue=4.0 PhraseModel_1=9.07433373482 WordPenalty=-7.81730067426 PhraseModel_0=4.50189111568	24.2904171962
4	australia is and north korea have diplomatic relations one of the a small number of countries of .	1.0	PhraseModel_2=9.75173749775 PhraseModel_1=9.07433373482 WordPenalty=-7.81730067426 PhraseModel_0=3.99718634225 Glue=5.0	26.9827471453	PhraseModel_2=9.75173749775 Glue=5.0 PhraseModel_0=3.99718634225 PhraseModel_1=9.07433373482 WordPenalty=-7.81730067426	26.9827471453
1	australia is and north korea have diplomatic relations one of the a small number of countries of .	1.0	WordPenalty=-7.81730067426 PhraseModel_2=9.75173749775 PhraseModel_1=9.07433373482 Glue=4.0 PhraseModel_0=4.31280441023	25.2990936083	PhraseModel_2=9.75173749775 Glue=4.0 PhraseModel_1=9.07433373482 WordPenalty=-7.81730067426 PhraseModel_0=4.31280441023	25.2990936083
1	australia is and north korea have diplomatic relations one of the a small number of countries of .	1.0	WordPenalty=-7.81730067426 PhraseModel_2=9.75173749775 PhraseModel_1=9.07433373482 Glue=4.0 PhraseModel_0=4.37340710498	24.9758106543	PhraseModel_2=9.75173749775 Glue=4.0 PhraseModel_1=9.07433373482 WordPenalty=-7.81730067426 PhraseModel_0=4.37340710498	24.9758106543
1	australia is and north korea have diplomatic relations one of the a small number of countries of .	1.0	PhraseModel_2=9.75173749775 PhraseModel_1=9.07433373482 WordPenalty=-7.81730067426 Glue=3.0 PhraseModel_0=4.6403899882	23.5515998082	PhraseModel_2=9.75173749775 Glue=3.0 PhraseModel_1=9.07433373482 WordPenalty=-7.81730067426 PhraseModel_0=4.6403899882	23.5515998082
4	australia is and have diplomatic relations north korea one of the a small number of countries of .	1.0	WordPenalty=-7.81730067426 PhraseModel_2=9.75173749775 PhraseModel_1=9.07433373482 Glue=4.0 PhraseModel_0=3.99718634225	26.9827471453	PhraseModel_2=9.75173749775 Glue=4.0 PhraseModel_1=9.07433373482 WordPenalty=-7.81730067426 PhraseModel_0=3.99718634225	26.9827471453
