#count	#translation	#r	#qmap	#qdot	#pmap	#pdot
6	australia is and relations nkorea one of the few countries .	7.49003002952e-05	StatelessLanguageModel_OOV=1.0 PhraseModel_2=5.97490599007 StatelessLanguageModel=-25.9581218958 Glue=4.0 PhraseModel_0=3.89046240784 WordPenalty=-4.77723930094 PhraseModel_1=10.9392828718	-136.357361059	PhraseModel_1=10.9392828718 NGramOrder_1=4 NGramOrder_2=5 NGramOrder_3=3 LanguageModel=-27.8579924274 StatelessLanguageModel=-25.9581218958 PhraseModel_2=5.97490599007 LanguageModel_OOV=1 StatelessLanguageModel_OOV=1.0 Glue=4.0 WordPenalty=-4.77723930094 PhraseModel_0=3.89046240784	-145.856713718
1	australia is and relations nkorea one of the few countries .	0.00014587672881	PhraseModel_0=4.13457620144 StatelessLanguageModel_OOV=1.0 StatelessLanguageModel=-26.0914427042 Glue=2.0 PhraseModel_1=10.9392827228 PhraseModel_2=5.97490593046 WordPenalty=-4.77723930094	-138.326180853	PhraseModel_1=10.9392827228 NGramOrder_1=4 NGramOrder_2=5 NGramOrder_3=3 LanguageModel=-27.8579924274 StatelessLanguageModel=-26.0914427042 PhraseModel_2=5.97490593046 LanguageModel_OOV=1 PhraseModel_0=4.13457620144 Glue=2.0 WordPenalty=-4.77723930094 StatelessLanguageModel_OOV=1.0	-147.158929469
41	australia is and relations nkorea one of the few countries .	0.00014587672881	StatelessLanguageModel_OOV=1.0 StatelessLanguageModel=-26.0914427042 Glue=4.0 PhraseModel_0=3.38134474493 PhraseModel_1=10.9392827228 PhraseModel_2=5.97490593046 WordPenalty=-4.77723930094	-134.308094012	PhraseModel_1=10.9392827228 NGramOrder_1=4 NGramOrder_2=5 NGramOrder_3=3 LanguageModel=-27.8579924274 StatelessLanguageModel=-26.0914427042 PhraseModel_2=5.97490593046 LanguageModel_OOV=1 StatelessLanguageModel_OOV=1.0 Glue=4.0 WordPenalty=-4.77723930094 PhraseModel_0=3.38134474493	-143.140842628
1	australia is and relations nkorea one of the few countries .	7.49003002952e-05	StatelessLanguageModel_OOV=1.0 PhraseModel_2=5.97490599007 Glue=3.0 StatelessLanguageModel=-25.9581218958 PhraseModel_0=4.20608047582 WordPenalty=-4.77723930094 PhraseModel_1=10.9392828718	-138.041014596	PhraseModel_1=10.9392828718 NGramOrder_1=4 NGramOrder_2=5 NGramOrder_3=3 LanguageModel=-27.8579924274 StatelessLanguageModel=-25.9581218958 PhraseModel_2=5.97490599007 LanguageModel_OOV=1 StatelessLanguageModel_OOV=1.0 Glue=3.0 WordPenalty=-4.77723930094 PhraseModel_0=4.20608047582	-147.540367255
5	australia is and relations nkorea one of the few countries .	0.00014587672881	PhraseModel_0=3.69696281291 StatelessLanguageModel_OOV=1.0 Glue=3.0 StatelessLanguageModel=-26.0914427042 PhraseModel_1=10.9392827228 PhraseModel_2=5.97490593046 WordPenalty=-4.77723930094	-135.991747549	PhraseModel_1=10.9392827228 NGramOrder_1=4 NGramOrder_2=5 NGramOrder_3=3 LanguageModel=-27.8579924274 StatelessLanguageModel=-26.0914427042 PhraseModel_2=5.97490593046 LanguageModel_OOV=1 PhraseModel_0=3.69696281291 Glue=3.0 WordPenalty=-4.77723930094 StatelessLanguageModel_OOV=1.0	-144.824496165
3	australia is and relations nkorea one of the few countries .	0.00014587672881	PhraseModel_0=3.81895813346 StatelessLanguageModel_OOV=1.0 WordPenalty=-4.77723930094 StatelessLanguageModel=-26.0914427042 PhraseModel_1=10.9392827228 PhraseModel_2=5.97490593046 Glue=3.0	-136.642527316	Glue=3.0 NGramOrder_1=4 NGramOrder_2=5 NGramOrder_3=3 LanguageModel=-27.8579924274 StatelessLanguageModel=-26.0914427042 PhraseModel_2=5.97490593046 LanguageModel_OOV=1 PhraseModel_0=3.81895813346 PhraseModel_1=10.9392827228 WordPenalty=-4.77723930094 StatelessLanguageModel_OOV=1.0	-145.475275932
1	australia is and relations nkorea one of the few countries .	0.00014587672881	StatelessLanguageModel_OOV=1.0 PhraseModel_0=4.02454839088 StatelessLanguageModel=-26.0914427042 Glue=2.0 PhraseModel_1=10.9392827228 PhraseModel_2=5.97490593046 WordPenalty=-4.77723930094	-137.739241349	PhraseModel_1=10.9392827228 NGramOrder_1=4 NGramOrder_2=5 NGramOrder_3=3 LanguageModel=-27.8579924274 StatelessLanguageModel=-26.0914427042 PhraseModel_2=5.97490593046 LanguageModel_OOV=1 StatelessLanguageModel_OOV=1.0 Glue=2.0 WordPenalty=-4.77723930094 PhraseModel_0=4.02454839088	-146.571989965
7	australia is and relations nkorea one of the few countries .	0.00014587672881	PhraseModel_0=3.82753513194 StatelessLanguageModel_OOV=1.0 Glue=3.0 StatelessLanguageModel=-26.0914427042 PhraseModel_1=10.9392827228 PhraseModel_2=5.97490593046 WordPenalty=-4.77723930094	-136.688281014	PhraseModel_1=10.9392827228 NGramOrder_1=4 NGramOrder_2=5 NGramOrder_3=3 LanguageModel=-27.8579924274 StatelessLanguageModel=-26.0914427042 PhraseModel_2=5.97490593046 LanguageModel_OOV=1 PhraseModel_0=3.82753513194 Glue=3.0 WordPenalty=-4.77723930094 StatelessLanguageModel_OOV=1.0	-145.52102963
1	australia is and relations nkorea one of the few countries .	0.00014587672881	PhraseModel_0=4.26514852047 StatelessLanguageModel_OOV=1.0 StatelessLanguageModel=-26.0914427042 Glue=2.0 PhraseModel_1=10.9392827228 PhraseModel_2=5.97490593046 WordPenalty=-4.77723930094	-139.022714319	PhraseModel_1=10.9392827228 NGramOrder_1=4 NGramOrder_2=5 NGramOrder_3=3 LanguageModel=-27.8579924274 StatelessLanguageModel=-26.0914427042 PhraseModel_2=5.97490593046 LanguageModel_OOV=1 PhraseModel_0=4.26514852047 Glue=2.0 WordPenalty=-4.77723930094 StatelessLanguageModel_OOV=1.0	-147.855462935
8	australia is and relations pyongyang one of the few countries .	0.00014587672881	StatelessLanguageModel_OOV=1.0 PhraseModel_1=11.6459760144 StatelessLanguageModel=-26.0914427042 PhraseModel_0=3.22644276358 Glue=4.0 PhraseModel_2=6.05788012594 WordPenalty=-4.77723930094	-136.384502355	PhraseModel_1=11.6459760144 NGramOrder_1=4 NGramOrder_2=5 NGramOrder_3=3 LanguageModel=-27.8579924274 StatelessLanguageModel=-26.0914427042 PhraseModel_2=6.05788012594 LanguageModel_OOV=1 StatelessLanguageModel_OOV=1.0 Glue=4.0 WordPenalty=-4.77723930094 PhraseModel_0=3.22644276358	-145.217250971
